chain_id,domain,model,format,response,predicted_label,ground_truth_label,correct,prompt_tokens,completion_tokens,cost
pubg_real_0000,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0000,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0001,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0002,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0003,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0004,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0005,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0006,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0007,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0008,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0009,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0010,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0011,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0012,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0013,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gpt-5.4-mini,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gemini-3-flash-preview,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gemini-3-flash-preview,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gemini-3-flash-preview,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gemini-3-flash-preview,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0014,pubg,gemini-3-flash-preview,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0015,pubg,gpt-5,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0015,pubg,gpt-5,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0015,pubg,gpt-5,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0015,pubg,gpt-5,dialogue,YES,YES,YES,True,80,30,0.0005
pubg_real_0015,pubg,gpt-5,socratic,YES,YES,YES,True,80,30,0.0005
pubg_real_0015,pubg,gpt-5.4-mini,original_paragraph,YES,YES,YES,True,80,30,0.0005
pubg_real_0015,pubg,gpt-5.4-mini,bullet_list,YES,YES,YES,True,80,30,0.0005
pubg_real_0015,pubg,gpt-5.4-mini,json_schema,YES,YES,YES,True,80,30,0.0005
pubg_real_0015,pubg,gpt-5.4-mini,dialogue,YES,YES,YES,True,80,30,0.0005
